Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
22.41732287,2168.049072,-1299.515991,151.576004,2532.223109
22.43737083,2171.999023,-1283.057007,151.5970001,2527.211248
22.4573056,2174.349121,-1274.537964,151.2870026,2524.901756
22.47732275,2175.520996,-1267.649048,151.6470032,2522.463583
22.49739375,2180.650879,-1249.300049,150.9980011,2517.695229
22.51738133,2184.460938,-1234.859985,150.4779968,2513.84017
22.53737895,2186.591064,-1226.860962,150.4980011,2511.775856
22.55753652,2185.141113,-1232.531006,150.697998,2513.301465
22.57735525,2180.150879,-1251.360962,151.0679932,2518.289827
22.59737829,2166.510986,-1306.45105,151.8280029,2534.489286
22.61738383,2159.700928,-1334.001953,152.8190002,2543.073525
22.6373766,2152.881104,-1359.041992,152.798996,2550.537143
22.65733579,2147.071045,-1382.212036,153.0189972,2558.092844
22.67732741,2142.730957,-1399.222046,153.6289978,2563.731686
22.6973166,1982.421875,-1679.511963,-32.49000549,2598.425008
22.71733406,1873.473022,-1757.081055,-219.4770203,2577.868337
22.73735152,1873.473022,-1757.081055,-219.4770203,2577.868337
22.75736414,1763.984985,-1848.800049,-400.7250061,2586.558559
22.77735472,1654.05896,-1941.588013,-580.7020264,2615.891798
22.79741383,1546.500977,-2030.365967,-760.197998,2663.071953
22.81739752,1460.713989,-2064.384033,-921.3520508,2691.515632
22.83741329,1397.369019,-2080.612061,-1046.154053,2715.883838
22.8573526,1297.791992,-2105.711914,-1242.437012,2768.020312
22.87738572,1262.22998,-2114.534912,-1312.680054,2790.629202
22.89796552,1232.896973,-2121.837891,-1369.42395,2810.258517
22.91737833,1208.224976,-2126.439941,-1420.097046,2828.114219
22.94872568,1165.17395,-2130.141113,-1505.328979,2856.7721
22.96742425,1147.333008,-2131.672119,-1541.020996,2869.694194
22.98741418,1130.362061,-2133.133057,-1574.562988,2882.225465
23.00738252,1111.031006,-2134.753906,-1616.703979,2899.188834
23.02742602,840.5629883,-2168.303955,-1149.131958,2593.953052
23.04738441,763.9229736,-2177.253906,-1070.863037,2543.768961
23.06739756,729.4530029,-2181.264893,-1037.063965,2522.998193
23.08737637,700.78302,-2171.534912,-1012.015015,2496.164078
23.10740902,668.3729858,-2188.245117,-989.3460693,2492.778527
23.12735971,641.0230103,-2188.115967,-968.5059814,2477.249648
23.14738937,505.9940186,-2208.256104,-721.5490723,2377.616039
23.16741068,462.9039917,-2209.956055,-684.8709717,2359.4987
23.18737052,443.7739868,-2214.946045,-665.2719727,2354.890259
23.20737183,427.0440063,-2213.865967,-650.4830322,2346.63531
23.22737468,410.4540405,-2216.736084,-640.4429932,2343.620834
23.24756491,395.585022,-2215.156982,-631.1640625,2337.044296
23.26748295,375.0560303,-2223.136963,-628.0150146,2340.386259
23.28734468,354.677002,-2205.467041,-606.8570557,2314.769131
23.30737818,341.5079956,-2201.957031,-596.7180176,2306.797536
23.32735475,332.1879883,-2202.837891,-583.9200439,2302.999403
23.34737475,320.5790405,-2207.647949,-577.1209717,2304.245865
23.37737321,309.2990112,-2211.248047,-563.0030518,2302.662858
23.40731891,86.38400269,-2258.806885,-142.7950134,2264.963831
23.42757091,78.22200012,-2259.846924,-125.9840088,2264.707215
23.44734218,73.61000061,-2260.356934,-124.1719971,2264.961497
23.46735295,75.75801086,-2260.228027,-114.0410004,2264.370853
23.48729306,-151.3789978,-2288.816895,317.9519958,2315.748658
23.50728879,-153.4019928,-2289.076904,323.1549988,2316.858735
23.52730283,-155.723999,-2289.3479,325.2869873,2317.579642
23.54737187,-156.0350037,-2289.488037,335.4089966,2319.181233
23.56734964,-158.0160065,-2289.728027,338.1600037,2319.951656
23.58730437,-158.6360016,-2289.86792,345.2000122,2321.168568
23.60729541,-159.5659943,-2289.998047,348.5700073,2321.86421
23.62732987,-161.7059937,-2290.248047,351.0100098,2322.626309
23.64732864,-161.0469971,-2290.208008,354.0799866,2323.006993
23.66734783,-165.1069946,-2290.647949,354.9710083,2323.861606
23.68738633,-164.6080017,-2290.60791,355.8919983,2323.927604
23.70752433,-143.3730011,-6.436004639,-16.55499268,144.4690534
23.72749827,-144.8049927,-6.354995728,-14.11300659,145.629835
23.74747221,-144.8059998,-6.348007202,-14.11199951,145.6304339
23.76731245,-144.3170013,-6.083999634,-10.13200378,144.8001016
23.79739856,-142.3869934,-9.470001221,-1.70199585,142.711715
23.81745571,-139.9279938,-11.00799561,2.979003906,140.3919295
23.83747895,-137.7779999,-12.30599976,5.198997498,138.4241469
23.85750875,-135.0980072,-13.78399658,6.509002686,135.9552766
23.87748087,-131.6390076,-13.69299316,9.60900116,132.6976235
23.89739364,-129.7189941,-13.03199768,13.58899689,131.0782638
23.91739691,-126.1090012,-10.68099976,17.83100128,127.8104399
23.93731506,-121.2190018,-11.50999451,26.81100464,124.6810183
23.95733237,-118.2089996,-12.25999451,33.61100006,123.5045521
23.97738679,-116.8590012,-14.90899658,37.10099792,123.5102764
23.99736841,-117.4189987,-17.25900269,40.25099945,125.3205386
24.01736956,-115.7409973,-17.13800049,46.40100098,125.8679563
24.03740571,-116.7710037,-19.25799561,46.77099609,127.255113
24.0673601,-116.310997,-21.7769928,52.39099884,129.4113681
24.08733271,-117.401001,-24.41700745,54.02099609,131.5197829
24.10737591,-115.651001,-23.76699829,57.69100189,131.4088122
24.12734841,-116.7409973,-26.41600037,60.54100037,134.1323162
24.1474681,-116.901001,-25.93600464,61.44100189,134.5864669
24.16956037,-116.3310013,-25.61599731,59.90100098,133.3312083
24.18746118,-116.6309967,-25.12599182,58.65100098,132.9437655
24.20744144,-115.4909973,-23.76499939,59.22100067,131.9472341
24.22744798,-116.0410004,-24.78500366,55.8809967,131.1582859
24.24740898,-115.4410019,-21.68499756,52.71099854,128.745149
24.26735571,-115.6110001,-22.41499329,48.75099945,127.4558559
24.28742087,-114.8410034,-21.79499817,45.66899872,125.4955595
24.30735729,-114.6340027,-19.95399475,44.52600098,124.5860395
24.32736921,-113.8440018,-18.63200378,43.88299561,123.4233592
24.34733098,-115.2360001,-19.02000427,42.68899536,124.3521073
24.36759744,-113.6559982,-16.14300537,42.60299683,122.4471229
24.38743083,-115.2310028,-16.79499817,41.13000488,123.4987177
24.40735602,-115.6490021,-15.39199829,41.39199829,123.7937915
24.42735418,-117.4290009,-14.38299561,41.06399536,125.2305575
24.44737898,-119.8860016,-13.23600769,42.52099609,127.8901106
24.46737444,-123.3180008,-12.69499207,42.22499847,130.9635164
24.48740656,-128.621994,-11.897995,41.33799744,135.6245172
24.50733737,-140.8710022,-9.677001953,38.89199829,146.4611592
24.52736156,-138.1970062,-7.74899292,36.32600403,143.1014954
24.54739379,-121.1320038,-0.6490020752,30.75,124.9757818
24.56736529,-106.2600021,5.242996216,26.72699738,109.6950749
24.5874631,-99.75099945,7.401000977,25.02099609,103.1071625
24.6073596,-99.69999695,10.08900452,20.58100128,102.3008065
24.62739241,-101.0690002,22.09100342,5.191001892,103.585239
24.64738571,-93.82900238,31.14299011,-6.531997681,99.07792143
24.66736421,-85.98000336,42.54100037,-22.61399841,98.55805707
24.68734994,-83.29199982,51.65299988,-40.19200134,105.9291584
24.70919606,-85.38999939,66.73701477,-60.51199341,124.1248665
24.72783144,-93.69799805,80.66798401,-81.75,148.2217966
24.74738225,-116.0360031,106.2490082,-115.8460083,195.3804069
24.76740129,-130.8170013,111.9120026,-130.3979797,215.965315
24.78736344,-146.5090027,113.1549835,-140.178009,232.2042471
24.8073721,-159.7700043,117.5860138,-144.8349915,245.6218631
24.82737252,-172.0059967,117.5720062,-145.6219788,254.1948077
24.84757329,-180.7259979,117.9210052,-145.7599792,260.4097182
24.86735991,-183.9309998,120.0730133,-143.7519836,262.5124264
24.88766794,-187.673996,121.4530182,-144.4770203,266.1690699
24.90777341,-189.2290039,124.5390167,-143.401001,268.1071235
24.92734441,-190.5319977,128.1840057,-145.1000061,271.6387182
24.94743071,-190.4170074,135.4340057,-142.3210144,273.5987532
